gene_names,BRCA
RCN3,RCN3
RPS8,RPS8
CD53,CD53
POGK,POGK
DCAF6,DCAF6
FCGR2A,FCGR2A
ISG20L2,ISG20L2
XPR1,XPR1
PRUNE1,
ECM1,ECM1
TARS2,TARS2
MCL1,MCL1
DYRK3,DYRK3
PKLR,PKLR
PPFIA4,PPFIA4
GALM,
GOLGA4,GOLGA4
ENOPH1,ENOPH1
TBC1D7,TBC1D7
TRIM41,TRIM41
TNFRSF21,TNFRSF21
NONO,NONO
IL2RG,IL2RG
PRPS1,PRPS1L1;PRPS1
MFHAS1,
STAR,STARD10;STARD13;STARD3;STARD7;STARD8;STAR
PLPBP,
HAUS6,
GSN,GSN
ALAD,ALAD
SURF4,SURF4
GBGT1,GBGT1
PTGES2,PTGES2
SSRP1,SSRP1
MS4A3,
EI24,EI24
NUDT22,NUDT22
PPP4C,PPP4C
CCT5,CCT5
SACS,SACS
RABGAP1L,RABGAP1L
HNRNPDL,
ANAPC1,ANAPC10;ANAPC11;ANAPC16;ANAPC1
CETN3,
CEBPG,
CHD1,CHD1L
TOMM70,
OBSCN,OBSCN
BUB3,BUB3
CCDC173,
MRPL39,
CXXC1,
AZIN1,AZIN1
SAMSN1,SAMSN1
NUP205,NUP205
ADK,
PTDSS1,PTDSS1
EEF1A1,EEF1A1P9;EEF1A1
DHRS4,DHRS4L1;DHRS4L2
ST3GAL2,ST3GAL2
TMEM268,
SLC45A3,
B4GALT3,B4GALT3
CDC42SE2,CDC42SE2
IGF2BP1,IGF2BP1
PSMD4,PSMD4
AMFR,
DFFA,DFFA
CSTB,CSTB
GAB3,GAB3
ZER1,ZER1
TAOK1,TAOK1
LMNA,
SRSF2,
SENP3,SENP3
FGF11,FGF11
SNRNP25,SNRNP25
TAL1,TAL1
LAPTM5,LAPTM5
TYW3,TYW3
LRATD1,
KRTCAP2,KRTCAP2
RPL9,RPL9
MTMR14,MTMR14
ELP6,
RNF168,RNF168
APEH,APEH
RICTOR,RICTOR
TENT2,
SHROOM1,
COX6C,COX6C
INTS8,INTS8
HNRNPK,HNRNPK
VCP,VCPIP1;VCP
PCF11,PCF11
ATP5F1C,
LARGE2,
TTC7B,TTC7B
PSMC3,PSMC3IP;PSMC3
TAF1D,TAF1D
GPT2,GPT2
TPP1,
IDH3A,IDH3A
NDEL1,NDEL1
SAAL1,SAAL1
NEMP1,
YWHAB,YWHAB
MARS1,
URM1,URM1
OR51B5,OR51B5
TMEM145,TMEM145
KLK1,KLK10;KLK11;KLK12;KLK13;KLK14;KLK1
CDK2AP2,CDK2AP2
DDB1,DDB1
POLR2G,POLR2G
SF1,SF1
NKIRAS2,NKIRAS2
DNAJC7,DNAJC7
NT5DC2,NT5DC2
PDHB,
RNF181,RNF181
MAT2A,
INPP5D,INPP5D
XPO6,XPO6
ZEB2,ZEB2
DCXR,DCXR
HNRNPF,HNRNPF
TRIM56,TRIM56
YWHAG,
UBB,UBB
LONRF2,
SERPINB9,SERPINB9
STAT2,
NDUFA3,NDUFA3
CLSTN1,
RPS21,
PPIH,PPIH
ZNF131,ZNF131
HECTD4,
NAA20,NAA20
MOB1B,
NUDT4,NUDT4
TOMM20,TOMM20L
FBXO45,FBXO45
GNG5,GNG5
CTSF,CTSF
EXO1,EXO1
NDUFA11,NDUFA11
MRPS22,MRPS22
DDIT3,
KCNE3,KCNE3
ETV4,
SLC35A4,
DIRAS1,DIRAS1
LMNB2,LMNB2
LRRC37A,LRRC37A2;LRRC37A3;LRRC37A4;LRRC37A
WSB2,WSB2
TYMS,TYMS
FAM210A,
BET1L,BET1L
NDUFV2,NDUFV2
PLEC,PLEC
EPM2AIP1,EPM2AIP1
PTPN11,PTPN11
VWA1,VWA1
DNHD1,DNHD1
ZFPM1,ZFPM1
DCTPP1,DCTPP1
MCFD2,MCFD2
SRP9P1,
D2HGDH,
GPR3,GPR31;GPR34;GPR35;GPR37L1;GPR37;GPR39;GPR3
NOP10,NOP10
MRPL41,MRPL41
CREB3L2,CREB3L2
UBA7,
TEX19,TEX19
C1orf116,C1orf116
C16orf72,C16orf72
COL18A1,COL18A1
SRPRA,
CNOT10,CNOT10
PYCR1,PYCR1
PTTG1IP,PTTG1IP
BCOR,BCORL1;BCOR
TENT5C,
ALYREF,
MACC1,
PRKX,PRKX
SMTN,SMTNL1;SMTNL2;SMTN
PTP4A2,PTP4A2
NDUFA12,NDUFA12
OSBP2,OSBP2
NDUFA6,NDUFA6
ANO9,ANO9
FAF1,FAF1
INPP5J,
MRPL30,
METTL7A,METTL7A
